Seção;Divisão;Grupo;Classe;Denominação
ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES;ATIVIDADES DE VIGILÂNCIA, SEGURANÇA E INVESTIGAÇÃO;Atividades de investigação particular;80307;Atividades de investigação particular
ARTES, CULTURA, ESPORTE E RECREAÇÃO;ATIVIDADES LIGADAS AO PATRIMÔNIO CULTURAL E AMBIENTAL;Atividades ligadas ao patrimônio cultural e ambiental;91031;Atividades de jardins botânicos, zoológicos, parques nacionais, reservas ecológicas e áreas de proteção ambiental
ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES;SERVIÇOS PARA EDIFÍCIOS E ATIVIDADES PAISAGÍSTICAS;Atividades de limpeza;81290;Atividades de limpeza não especificadas anteriormente
TRANSPORTE, ARMAZENAGEM E CORREIO;CORREIO E OUTRAS ATIVIDADES DE ENTREGA;Atividades de malote e de entrega;53202;Atividades de malote e de entrega
ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES;ATIVIDADES DE VIGILÂNCIA, SEGURANÇA E INVESTIGAÇÃO;Atividades de monitoramento de sistemas de segurança;80200;Atividades de monitoramento de sistemas de segurança
ARTES, CULTURA, ESPORTE E RECREAÇÃO;ATIVIDADES LIGADAS AO PATRIMÔNIO CULTURAL E AMBIENTAL;Atividades ligadas ao patrimônio cultural e ambiental;91023;Atividades de museus e de exploração, restauração artística e conservação de lugares e prédios históricos e atrações similares
ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES;SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS ÀS EMPRESAS;Atividades de organização de eventos, exceto culturais e esportivos;82300;Atividades de organização de eventos, exceto culturais e esportivos
OUTRAS ATIVIDADES DE SERVIÇOS;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;Atividades de organizações associativas não especificadas anteriormente;94936;Atividades de organizações associativas ligadas à cultura e à arte
OUTRAS ATIVIDADES DE SERVIÇOS;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;Atividades de organizações associativas patronais, empresariais e profissionais;94111;Atividades de organizações associativas patronais e empresariais
OUTRAS ATIVIDADES DE SERVIÇOS;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;Atividades de organizações associativas patronais, empresariais e profissionais;94120;Atividades de organizações associativas profissionais
OUTRAS ATIVIDADES DE SERVIÇOS;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;Atividades de organizações associativas não especificadas anteriormente;94928;Atividades de organizações políticas
OUTRAS ATIVIDADES DE SERVIÇOS;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;Atividades de organizações associativas não especificadas anteriormente;94910;Atividades de organizações religiosas
OUTRAS ATIVIDADES DE SERVIÇOS;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;Atividades de organizações sindicais;94201;Atividades de organizações sindicais
AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;"Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita";1636;Atividades de pós-colheita
INFORMAÇÃO E COMUNICAÇÃO;"ATIVIDADES CINEMATOGRÁFICAS, PRODUÇÃO DE VÍDEOS E DE PROGRAMAS DE TELEVISÃO; GRAVAÇÃO DE SOM E EDIÇÃO DE MÚSICA";Atividades cinematográficas, produção de vídeos e de programas de televisão;59120;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão
INFORMAÇÃO E COMUNICAÇÃO;"ATIVIDADES CINEMATOGRÁFICAS, PRODUÇÃO DE VÍDEOS E DE PROGRAMAS DE TELEVISÃO; GRAVAÇÃO DE SOM E EDIÇÃO DE MÚSICA";Atividades cinematográficas, produção de vídeos e de programas de televisão;59111;Atividades de produção cinematográfica, de vídeos e de programas de televisão
SAÚDE HUMANA E SERVIÇOS SOCIAIS;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;Atividades de profissionais da área de saúde, exceto médicos e odontólogos;86500;Atividades de profissionais da área de saúde, exceto médicos e odontólogos
ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS;PUBLICIDADE E PESQUISA DE MERCADO;Publicidade;73190;Atividades de publicidade não especificadas anteriormente
INFORMAÇÃO E COMUNICAÇÃO;ATIVIDADES DE RÁDIO E DE TELEVISÃO;Atividades de rádio;60101;Atividades de rádio
ARTES, CULTURA, ESPORTE E RECREAÇÃO;ATIVIDADES ESPORTIVAS E DE RECREAÇÃO E LAZER;Atividades de recreação e lazer;93298;Atividades de recreação e lazer não especificadas anteriormente
SAÚDE HUMANA E SERVIÇOS SOCIAIS;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;Atividades de serviços de complementação diagnóstica e terapêutica;86402;Atividades de serviços de complementação diagnóstica e terapêutica
